Track_name,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,popularity
Move Your Body (2012 Version) - Radio Edit,0.614,0.932,-0.112,0.177,0.291,0,0.0616,0.299,128.061,218086,2
Doing It Right - Remady Summer 2012 Radio Edit,0.662,0.871,-3.149,0.0409,0.00431,0,0.26,0.711,128.06,188640,16
The Riddle Anthem - Original Mix,0.67,0.897,-5.892,0.0353,0.00115,0.0694,0.0549,0.732,126.996,291330,20
Something in the Air - Radio Edit,0.713,0.707,-4.288,0.0722,0.325,0,0.124,0.844,128.084,199053,3
Think About That Way Feat. Rameez,0.678,0.804,-6.638,0.0727,0.00246,0,0.694,0.505,127.974,192573,15
Phenomenon - Video Mix,0.686,0.861,-4.563,0.0492,0.15,0,0.34,0.881,128.052,210361,9
Silhouettes - Syn Cole Creamfields Mix Radio Edit,0.616,0.86,-2.711,0.0557,0.0354,0.000148,0.0738,0.522,127.995,204387,36
Back in Time - featured in "Men In Black 3",0.727,0.91,-4.516,0.0466,0.00211,1.01e-06,0.165,0.747,127.088,207440,27
Midnight Sun,0.934,0.703,-3.747,0.102,0.0392,0.000448,0.0658,0.667,128.036,195727,37
Sing La La La (E-Partment Extended Mix)[feat. Flo Rida & Dale Saunders],0.727,0.827,-3.401,0.0653,0.00191,0.000176,0.181,0.636,127.978,280337,8
Million Voices - Radio Edit,0.579,0.858,-7.365,0.0378,0.00234,0.00881,0.0855,0.086,125.928,191187,53
Ready Or Not (Video Edit)[feat. U-jean],0.671,0.887,-6.25,0.0288,0.0228,0.0033,0.119,0.945,128.021,207683,7
Just A Little Bit (Spencer & Hill Airplay Edit),0.692,0.841,-7.957,0.0389,0.000214,0.662,0.658,0.931,126.539,214330,1
Crazy World - Radio Edit,0.637,0.889,-3.877,0.0529,0.233,0,0.253,0.59,128.012,193434,10
Touch the Stars - Original Radio Edit,0.756,0.881,-3.848,0.0899,0.029,2.32e-05,0.317,0.704,126.974,214298,8
Shut Up And Kiss Me (Edit),0.652,0.733,-5.88,0.0338,0.00723,0,0.127,0.534,127.982,182764,9
Hurricane - Radio Edit,0.711,0.927,-2.751,0.037,0.0789,0,0.103,0.693,128.014,210469,14
Saturday Night - Max K. Remix Edit,0.664,0.94,-3.404,0.0722,0.0323,0,0.374,0.841,130.04,199733,11
Star - Radio Edit,0.753,0.581,-5.675,0.0606,0.006,0,0.074,0.789,128.953,182995,14
Never,0.649,0.816,-4.802,0.0599,0.0552,0,0.162,0.451,130.012,182498,2
Calling (Lose My Mind) - Radio Edit,0.416,0.849,-4.909,0.0455,0.00864,0.000138,0.204,0.147,125.098,205440,7
Love Is Everywhere - Radio Edit,0.627,0.852,-5.208,0.0386,0.00297,6.69e-05,0.239,0.453,130.002,156166,5
Le Bump - Original Mix,0.943,0.705,-6.554,0.237,0.00927,0.00016,0.0816,0.715,125.01,280592,2
Ubap - Video Mix,0.804,0.697,-4.142,0.0451,0.112,0,0.163,0.586,126.965,202046,10
Long Time (feat. Andreas Moe) - Radio Edit,0.524,0.814,-8.225,0.044,0.039,1.8e-06,0.366,0.358,127.961,179880,30
The One and Only - Original Edit,0.633,0.858,-4.525,0.0366,0.00181,1.95e-05,0.0657,0.784,128.012,228817,10
I Could Be The One (Avicii Vs. Nicky Romero) - Radio Edit,0.509,0.79,-3.782,0.0374,0.332,6.67e-05,0.316,0.638,127.946,208316,55
All I Live For - DJ Antoine vs Mad Mark 2k13 Radio Edit,0.617,0.873,-4.406,0.0299,0.106,0,0.1,0.338,127.939,206550,3
Hangover,0.606,0.883,-3.243,0.0423,0.00872,0,0.0698,0.608,128.053,244907,75
Last Night a D.J. Saved My Life - Radio Mix,0.701,0.93,-1.72,0.0847,0.0657,6.67e-06,0.167,0.341,128.024,167734,15
Party Around the World - Michael Mind Project Remix Edit,0.637,0.933,-3.998,0.0801,0.0323,0,0.182,0.765,127.938,183154,36
Real Love - Radio Mix,0.581,0.85,-3.23,0.0662,0.00787,0.000242,0.136,0.35,127.994,162911,3
Children - Original Higher Level Mix,0.653,0.931,-5.886,0.047,0.00477,0.608,0.296,0.211,128.009,300110,21
Broadway - DJ Antoine vs Mad Mark 2k12 Radio Edit,0.784,0.747,-4.963,0.0532,0.0438,0.000453,0.0718,0.7,127.962,172800,15
Resurrection - Axwell's Recut Radio Version,0.666,0.952,-2.492,0.0359,0.0318,0.678,0.216,0.622,128.076,166875,56
Turn Me On (feat. Nicki Minaj),0.704,0.793,-2.266,0.0591,0.0488,0,0.575,0.412,127.96,199680,65
Here We Go (Allez allez) - Michael Mind Project Radio Edit,0.502,0.924,-4.955,0.11,0.00183,0,0.292,0.424,129.976,189666,20
Holiday - DJ Antoine Vs Mad Mark 2K15 Radio Edit,0.77,0.823,-3.713,0.038,0.224,2.71e-05,0.0913,0.58,125.975,211726,40
Miracles - Radio Edit,0.571,0.91,-2.925,0.0467,0.107,0,0.264,0.49,127.987,162150,25
Infinity 2008 - Klaas Vocal Edit,0.498,0.862,-6.02,0.0589,0.000313,0.00941,0.352,0.47,128.034,192294,71
Remember to Forget - Michael Mind Project Radio Edit,0.588,0.932,-3.882,0.0717,0.00346,0,0.114,0.572,129.961,231957,31
