danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,popularity
high,high,low,low,low,low,medium,127.041,184573,medium
medium,high,low,low,low,low,medium,149.966,191067,medium
medium,high,low,low,low,medium,medium,127.945,234360,medium
high,high,low,low,low,medium,medium,128.019,218186,low
medium,medium,low,low,low,low,low,130.03,204927,low
medium,high,low,low,low,low,medium,130.003,194931,low
high,high,low,low,medium,medium,high,129.993,300679,low
high,high,low,low,high,low,medium,130.003,267308,low
medium,high,low,low,low,low,medium,127.962,215733,low
high,high,low,low,high,low,medium,125.026,169920,medium
medium,high,low,low,low,low,medium,184.032,196640,medium
medium,high,low,low,low,low,medium,184.032,196640,medium
medium,high,low,low,low,low,medium,184.032,196640,medium
medium,high,low,low,low,low,medium,184.032,196640,medium
medium,high,low,low,low,low,low,128.012,215295,medium
high,high,low,low,low,medium,medium,128.03,192667,medium
medium,high,low,low,low,medium,medium,129.978,194642,medium
high,high,low,low,low,low,high,123.888,195960,low
medium,high,low,low,low,low,low,142.023,239789,medium
medium,high,low,low,low,low,medium,88.952,227839,low
high,high,low,medium,low,low,medium,92.985,269187,low
high,medium,low,low,low,low,medium,108.873,245640,high
medium,high,low,low,low,low,high,156.509,172733,medium
medium,medium,low,low,low,low,low,137.715,267653,medium
medium,high,low,low,low,medium,medium,106.977,270000,medium
medium,high,low,medium,low,low,low,142.215,283467,medium
medium,low,low,high,low,low,low,81.876,240147,medium
high,high,low,low,low,low,medium,107.938,277040,high
medium,medium,low,medium,low,low,low,174.57,212197,low
high,low,medium,high,low,low,low,116.993,279980,medium
medium,medium,low,low,low,low,low,89.821,179541,medium
high,medium,low,low,low,low,low,104.014,175083,medium
high,high,low,low,low,low,medium,114.046,217625,medium
medium,high,low,low,low,low,medium,109.012,220733,high
medium,high,low,low,low,low,medium,95.487,193447,medium
low,medium,low,low,low,low,medium,156.559,185237,medium
medium,high,low,low,low,low,medium,129.981,177539,medium
medium,medium,low,low,low,low,high,93.982,224467,high
medium,medium,low,low,low,low,low,120.019,340707,high
medium,medium,low,medium,low,low,medium,102.583,198800,medium
medium,medium,low,low,low,low,low,78.039,266773,medium
medium,high,low,low,low,low,high,172.977,211520,high
medium,high,low,low,low,low,high,104.031,296520,high
high,high,low,low,low,low,high,119.965,182693,medium
medium,high,low,low,low,low,high,125.148,356400,low
medium,high,low,low,low,low,high,119.96,243040,medium
high,high,low,low,low,low,medium,126.366,214667,high
medium,high,low,low,low,low,medium,115.728,208400,high
medium,high,low,low,low,low,low,133.52,292880,high
low,medium,low,low,low,medium,medium,199.787,254720,medium
high,high,low,low,low,low,high,117.656,236920,high
high,medium,low,low,low,low,medium,95.078,207333,high
medium,high,low,low,low,medium,medium,103.992,311867,low
high,high,low,low,low,low,medium,106.97,225983,high
high,high,low,low,high,low,high,124.431,208600,high
medium,high,low,low,low,low,high,122.902,246520,high
medium,high,low,low,low,medium,medium,122.752,320357,high
high,medium,low,low,low,medium,medium,103.989,173987,low
medium,high,low,low,low,medium,high,150.034,179947,high
high,medium,low,low,low,low,high,126.003,238507,medium
medium,high,low,low,low,low,high,165.09,191040,medium
high,high,low,low,low,low,low,135.029,225222,low
medium,high,low,low,low,low,high,116.761,301920,high
high,high,low,low,low,low,medium,119.875,212000,low
medium,high,low,high,low,high,medium,138.63,268560,medium
high,medium,low,low,low,low,high,131.922,219467,high
medium,high,low,low,low,medium,medium,119.25,248907,high
medium,medium,low,high,low,low,low,87.613,353920,medium
medium,high,low,low,low,low,low,104.98,285653,high
medium,medium,low,low,low,low,medium,166.12,262387,medium
high,high,low,low,low,low,low,112.971,322766,low
high,high,low,medium,low,low,high,101.965,251088,high
medium,high,low,low,low,low,medium,145.941,208973,medium
high,high,low,low,low,low,medium,121.002,230000,low
medium,high,low,high,low,low,medium,71.832,206756,low
high,high,low,low,low,low,medium,100.019,212087,low
high,high,low,low,low,low,medium,93.43,268005,low
high,high,low,low,low,low,high,132.031,304960,medium
high,high,low,low,low,low,high,133.962,227333,high
high,medium,low,low,medium,low,medium,122.458,239253,medium
high,medium,low,low,low,low,medium,108.018,275544,medium
medium,high,low,low,low,low,medium,133.97,163627,medium
medium,medium,low,low,low,low,low,159.044,239733,medium
medium,medium,low,low,low,low,medium,132.056,213360,medium
